283795,虞美人·沉冥自了人间世
948120,丁酉二月二十日同部中诸公游下竺御园坐枕流亭观放闸桃花数万点随流而下继至集芳亦禁峑也海棠满山郁李绕槛殆不类人间世明日入部而桃花数枝伶俜窗外未时内直则海棠郁李各一株方开遂赋二绝句 其二
864174,仆在会稽泛舟至剡中是时雪迟梅子烟外万枝夹岸幽香不断盖非人间世也友人廉宣仲在四明闻之作子猷访戴图见寄作长短句谢之仍书四绝句于图后 其四
640590,节物惊心怕倚阑家山千里暮云寒桑田俛仰人间世菽水团栾梦里欢衡石事严宵漏尽博山香暖瑞烟团故人今日皆天上还有双鱼寄脍残 其一
1120356,丁酉二月二十日同部中诸公游下竺御园坐枕流亭观放闸桃花数万点随流而下继至集芳亦禁峑也海棠满山郁李绕槛殆不类人间世明日入部而桃花数枝伶俜窗外未时内直则海棠郁李各一株方开遂赋二绝句
216259,挽辞·厌代人间世
358586,读庄子人间世
98299,山中四绝句·桃源政自人间世
271184,吾衰·白首人间世
254583,水调歌头·晚读人间世
171417,寿周益公·小住人间世
189805,饮酒诗·我观人间世
1106997,仆在会稽泛舟至剡中是时雪迟梅子烟外万枝夹岸幽香不断盖非人间世也友人廉宣仲在四明闻之作子猷访戴图见寄作长短句谢之仍书四绝句于图后
864173,仆在会稽泛舟至剡中是时雪迟梅子烟外万枝夹岸幽香不断盖非人间世也友人廉宣仲在四明闻之作子猷访戴图见寄作长短句谢之仍书四绝句于图后 其一
120552,书怀·俛仰人间世
864175,仆在会稽泛舟至剡中是时雪迟梅子烟外万枝夹岸幽香不断盖非人间世也友人廉宣仲在四明闻之作子猷访戴图见寄作长短句谢之仍书四绝句于图后 其二
910177,甲辰正月二十三日夕壬申梦坐一江楼上见雪月辉映汀洲高下澄流金碧林野疏迥景物清华绝非人间世所有因赋数诗既觉止记一首
101997,汉炳丹山·天仙下寓人间世
313820,望江南·人间世
948121,丁酉二月二十日同部中诸公游下竺御园坐枕流亭观放闸桃花数万点随流而下继至集芳亦禁峑也海棠满山郁李绕槛殆不类人间世明日入部而桃花数枝伶俜窗外未时内直则海棠郁李各一株方开遂赋二绝句 其一
101585,留诗·适向人间世
161178,多丽·人间世
368752,菩萨蛮·绿华一谪人间世
85455,次王雪·我宁局龊人间世
282432,台城路·高寒别有人间世
223218,四十·役役人间世
702679,节物惊心怕倚阑家山千里暮云寒桑田俛仰人间世菽水团栾梦里欢衡石事严宵漏尽博山香暖瑞烟团故人今日皆天上还有双鱼寄脍残
36323,送朱放·苦见人间世
78524,自喜·身寄人间世
864176,仆在会稽泛舟至剡中是时雪迟梅子烟外万枝夹岸幽香不断盖非人间世也友人廉宣仲在四明闻之作子猷访戴图见寄作长短句谢之仍书四绝句于图后 其三
218545,采桑子·冰姿冠绝人间世
543463,维摩庵又翠岩最幽绝处科头独坐万籁澄寂殆不复知有人间世因与山灵约异日者毕婚嫁愿携一钵安息此中
330559,杂诗·放旷人间世
132410,见寄·日者人间世
640592,节物惊心怕倚阑家山千里暮云寒桑田俛仰人间世菽水团栾梦里欢衡石事严宵漏尽博山香暖瑞烟团故人今日皆天上还有双鱼寄脍残 其三
640591,节物惊心怕倚阑家山千里暮云寒桑田俛仰人间世菽水团栾梦里欢衡石事严宵漏尽博山香暖瑞烟团故人今日皆天上还有双鱼寄脍残 其二
1059687,读庄子人间世
623248,檃括南华经词旨述内篇六言七章 其四 人间世
